cut,off,take out of a will,My grandparents cut my father off when he remarried.
drop,off,take somebody/ something somewhere and leave them/it there,I have to drop my sister off at work before I come over.
log,off,"sign out (of a website, database etc)",If you don't log off somebody could get into your account.
put,off,postpone,We are putting off our trip until January because of the hurricane.
show,off,act extra special for people watching (usually boastfully),He always shows off on his skateboard
switch,off,"stop the energy flow, turn off",The light's too bright. Could you switch it off.
take,off,start to fly,My plane takes off in five minutes.
take,off,remove something (usually clothing),Take off your socks and shoes and come in the lake!
turn,off,"stop the energy flow, switch off",Your mother wants you to turn the TV offand come for dinner.
wear,off,fade away,Most of my make-up wore off before I got to the party.
call,on,ask for an answer or opinion,The professor called on me for question 1.
call,on,visit somebody,We called on you last night but you weren't home.
count,on,rely on,I am counting on you to make dinner while I am out.
get,on,like each other,I was surprised how well my new girlfriend and my sister got on.
get,on,step onto a vehicle,We're going to freeze out here if you don't let us get on the bus.
hang,on,wait a short time (informal),Hang on while I grab my coat and shoes!
hold,on,wait a short time,Please hold on while I transfer you to the Sales Department.
hold,on,hold firmly using your hands or arms,Hold onto your hat because it's very windy outside.
keep,on,continue doing,Keep on stirring until the liquid comes to a boil.
log,on,"sign in (to a website, database etc)",I can't log on to Facebook because I've forgotten my password.
put,on,put clothing/ accessories on your body,Don't forget to put on your new earrings for the party.
switch,on,"start the energy flow, turn on",We heard the news as soon as we switched on the car radio.
turn,on,"start the energy, switch on",It's too dark in here. Let's turn some lights on.
try,on,sample clothing,"I'm going to try these jeans on, but I don't think they will fit."
ask,out,invite on a date,Brian asked Judy out to dinner and a movie.
break,out,escape,The prisoners broke out of jail when the guards weren't looking.
check,out,leave a hotel,You have to check out of the hotel before 11:00 AM.
check,out,"look at carefully, investigate",The company checks out all new employees.
check,out,look at (informal),Check out the crazy hair on that guy!
cross,out,draw a line through,Please cross out your old address and write your new one.
cut,out,remove part of something (usually with scissors and paper),I cut this ad out of the newspaper.
drop,out,"quit a class, school etc",I dropped out of Science because it was too difficult.
eat,out,eat at a restaurant,I don't feel like cooking tonight. Let's eat out.
fall,out,separate from an interior,The money must have fallen out of my pocket.
fall,out,"(of hair, teeth) become loose and unattached",His hair started to fall out when he was only 35.
figure,out,"understand, find the answer",I need to figure out how to fit the piano and the bookshelf in this room.
fill,out,"to write information in blanks, as on a form (AmE)",The form must be filled out in capital letters.
find,out,discover,We don't know where he lives. How can we find out?
find,out,discover,"We tried to keep the time of the party a secret, but Samantha found it out."
give,out,give to many people (usually at no cost),They were giving out free perfume samples at the department store.
go,out,leave home to go on a social event,We're going out for dinner tonight.
go,out,date,Jesse has been going out with Luke since they met last winter.
grow,out,get too big for,Elizabeth needs a new pair of shoes because she has grown out of her old ones.
hand,out,to distribute to a group of people,We will hand out the invitations at the door.
hang,out,spend time relaxing (informal),Instead of going to the party we are just going to hang out at my place.
keep,out,stop from entering,Try to keep the wet dog out of the living room.
log,out,"sign out (of a website, database etc)",If you don't log out somebody could get into your account.
look,out,"be careful, vigilant, and take notice",Look out! That car's going to hit you!
pass,out,faint,It was so hot in the church that an elderly lady passed out.
pass,out,give the same thing to many people,The professor passed the textbooks out before class.
pick,out,choose,I picked out three sweaters for you to try on.
point,out,indicate with your finger,I'll point my boyfriend out when he runs by.
put,out,extinguish,The neighbours put the fire out before the firemen arrived.
run,out,have none left,We ran out of shampoo so I had to wash my hair with soap.
sort,out,"organize, resolve a problem",We need to sort the bills out before the first of the month.
take,out,remove from a place or thing,Can you take the garbage out to the street for me?
take,out,pay for somebody to go somewhere with you,My grandparents took us out for dinner and a movie.
try,out,test,I am going to try this new brand of detergent out.
work,out,exercise,I work out at the gym three times a week.
work,out,be successful,Our plan worked out fine.
work,out,make a calculation,We have to work out the total cost before we buy the house.
look,out,be especially vigilant for,Don't forget to look out for snakes on the hiking trail.
break,out,develop a skin condition,I broke out in a rash after our camping trip.
do,over,"beat up, ransack (BrE, informal)",He's lucky to be alive. His shop was done over by a street gang.
do,over,do again (AmE),My teacher wants me to do my essay over because she doesn't like my topic.
drop,over,come without an appointment,I might drop over for tea sometime this week.
get,over,"communicate, make understandable",I tried to get my point over to the judge but she wouldn't listen.
get,over,"recover from an illness, loss, difficulty",I just got over the flu and now my sister has it.
get,over,overcome a problem,The company will have to close if it can't get over the new regulations.
go,over,review,Please go over your answers before you submit your test.
go,over,visit somebody nearby,I haven't seen Tina for a long time. I think I'll go over for an hour or two.
hand,over,give (usually unwillingly),The police asked the man to hand overhis wallet and his weapons.
look,over,"check, examine",Can you look over my essay for spelling mistakes?
run,over,drive a vehicle over a person or thing,I accidentally ran over your bicycle in the driveway.
run,over,"rehearse, review",Let's run over these lines one more time before the show.
sleep,over,stay somewhere for the night (informal),You should sleep over tonight if the weather is too bad to drive home.
think,over,consider,I'll have to think this job offer overbefore I make my final decision.
add,up,equal,Your purchases add up to $205.32.
back,up,reverse,You'll have to back up your car so that I can get out.
back,up,support,My wife backed me up over my decision to quit my job.
blow,up,explode,The racing car blew up after it crashed into the fence.
blow,up,add air,We have to blow 50 balloons up for the party.
break,up,end a relationship,My boyfriend and I broke up before I moved to America.
break,up,start laughing (informal),The kids just broke up as soon as the clown started talking.
bring,up,raise a child,My grandparents brought me up after my parents died.
bring,up,start talking about a subject,My mother walks out of the room when my father brings up sports.
bring,up,vomit,He drank so much that he brought his dinner up in the toilet.
call,up,phone,Give me your phone number and I will callyou up when we are in town.
catch,up,get to the same point as somebody else,You'll have to run faster than that if you want to catch up with Marty.
cheer,up,become happier,She cheered up when she heard the good news.
cheer,up,make happier,I brought you some flowers to cheer you up.
clean,up,"tidy, clean",Please clean up your bedroom before you go outside.
do,up,"fasten, close",Do your coat up before you go outside. It's snowing!
dress,up,wear nice clothing,It's a fancy restaurant so we have to dress up.
end,up,eventually reach/do/decide,We ended up renting a movie instead of going to the theatre.
fill,up,fill to the top,I always fill the water jug up when it is empty.
get,up,get out of bed,I got up early today to study for my exam.
get,up,stand,You should get up and give the elderly man your seat.
give,up,quit a habit,I am giving up smoking as of January 1st.
give,up,stop trying,My maths homework was too difficult so I gave up.
grow,up,become an adult,When Jack grows up he wants to be a fireman.
hang,up,end a phone call,He didn't say goodbye before he hung up.
hold,up,rob,A man in a black mask held the bank upthis morning.
keep,up,continue at the same rate,If you keep those results up you will get into a great college.
look,up,search and find information in a reference book or database,We can look her phone number up on the Internet.
look,up,have a lot of respect for,My little sister has always looked up to me.
make,up,"invent, lie about something",Josie made up a story about why we were late.
make,up,forgive each other,"We were angry last night, but we made up at breakfast."
make,up,apply cosmetics to,My sisters made me up for my graduation party.
mix,up,confuse two or more things,I mixed up the twins' names again!
pass,up,decline (usually something good),I passed up the job because I am afraid of change.
set,up,"arrange, organize",Our boss set a meeting up with the president of the company.
set,up,"trick, trap",The police set up the car thief by using a hidden camera.
tear,up,rip into pieces,I tore up my ex-boyfriend's letters and gave them back to him.
turn,up,"increase the volume or strength (heat, light etc)",Can you turn the music up? This is my favourite song.
turn,up,appear suddenly,Our cat turned up after we put posters up all over the neighbourhood.
use,up,finish the supply,The kids used all of the toothpaste up so we need to buy some more.
wake,up,stop sleeping,We have to wake up early for work on Monday.
warm,up,increase the temperature,You can warm your feet up in front of the fireplace.
warm,up,prepare body for exercise,I always warm up by doing sit-ups before I go for a run.
put,up,tolerate,I don't think I can put up with three small children in the car.
